categorie,nature,numero,nom,km,osm_id
TERTIAIRE,Route tertiaire,"","",1.125,w497955004
PRINCIPALE,Route primaire,"",Carrefour Nongo,1.116,w39451035
TERTIAIRE,Route tertiaire,"","",1.111,w429862218
TERTIAIRE,Route tertiaire,"","",1.100,w270402393
TERTIAIRE,Route tertiaire,"","",1.093,w273389157
TERTIAIRE,Route tertiaire,"","",1.093,w301451002
TERTIAIRE,Route tertiaire,"",Rue MO. 325,1.077,w589296866
TERTIAIRE,Route tertiaire,"","",1.069,w1010731416
TERTIAIRE,Route tertiaire,"","",1.063,w304029125
TERTIAIRE,Route tertiaire,"","",1.058,w687487159
TERTIAIRE,Route tertiaire,"","",1.051,w253675076
TERTIAIRE,Route tertiaire,"","",1.048,w296994381
TERTIAIRE,Route tertiaire,"","",1.047,w114623199
TERTIAIRE,Route tertiaire,"","",1.046,w328440085
SECONDAIRE,Route secondaire,"","",1.037,w571763251
TERTIAIRE,Route tertiaire,"","",1.033,w305854304
TERTIAIRE,Route tertiaire,"","",1.032,w329036290
TERTIAIRE,Route tertiaire,"","",1.030,w327645789
TERTIAIRE,Route tertiaire,"","",1.015,w304942057
TERTIAIRE,Route tertiaire,"","",1.009,w686518049
TERTIAIRE,Route tertiaire,"","",1.007,w270403130
TERTIAIRE,Route tertiaire,"","",1.006,w246573452
TERTIAIRE,Route tertiaire,"","",1.005,w327607690
TERTIAIRE,Route tertiaire,"","",1.004,w414491215
TERTIAIRE,Route tertiaire,"","",1.004,w304942062
PRINCIPALE,Route primaire,"","",1.003,w140778647
