categorie,nature,numero,nom,km,osm_id
PRINCIPALE,Route primaire,"",Autoroute le Prince,3.299,w38634841
TERTIAIRE,Route tertiaire,"","",3.289,w298160065
TERTIAIRE,Route tertiaire,"","",3.286,w328025081
TERTIAIRE,Route tertiaire,"","",3.282,w297360205
SECONDAIRE,Route secondaire,"","",3.266,w1066498410
TERTIAIRE,Route tertiaire,"","",3.227,w340086808
TERTIAIRE,Route tertiaire,"","",3.167,w273339631
SECONDAIRE,Route secondaire,"","",3.139,w300409241
TERTIAIRE,Route tertiaire,"","",3.117,w631131666
TERTIAIRE,Route tertiaire,"","",3.113,w561114996
TERTIAIRE,Route tertiaire,"","",3.097,w496723242
TERTIAIRE,Route tertiaire,"","",3.095,w328423649
PRINCIPALE,Route primaire,"",Autoroute le Prince,3.086,w38635712
TERTIAIRE,Route tertiaire,"","",3.082,w330992872
TERTIAIRE,Route tertiaire,"","",3.080,w305548742
PRINCIPALE,Route primaire,"",Autoroute le Prince,3.078,w140786785
TERTIAIRE,Route tertiaire,"","",3.077,w329039665
TERTIAIRE,Route tertiaire,"","",3.069,w311154095
TERTIAIRE,Route tertiaire,"","",3.067,w274151624
TERTIAIRE,Route tertiaire,"","",3.067,w331314919
TERTIAIRE,Route tertiaire,"","",3.061,w209124877
TERTIAIRE,Route tertiaire,"","",3.053,w201309331
TERTIAIRE,Route tertiaire,"","",3.042,w271864008
TERTIAIRE,Route tertiaire,"",Transversale 9,3.039,w272257534
TERTIAIRE,Route tertiaire,"","",3.034,w330327142
TERTIAIRE,Route tertiaire,"","",3.034,w303335801
TERTIAIRE,Route tertiaire,"","",3.025,w270401730
SECONDAIRE,Route secondaire,"",Transversal 2,3.023,w38652137
PRINCIPALE,Route primaire,"",Ganta - Sanniquellie,2.999,w495261627
TERTIAIRE,Route tertiaire,"","",2.996,w327874384
TERTIAIRE,Route tertiaire,"","",2.996,w300380668
TERTIAIRE,Route tertiaire,"","",2.992,w247175349
TERTIAIRE,Route tertiaire,"","",2.990,w303335797
PRINCIPALE,Route primaire,"",Transversale 7,2.989,w505428166
TERTIAIRE,Route tertiaire,"","",2.984,w305045856
TERTIAIRE,Route tertiaire,"","",2.974,w273339632
TERTIAIRE,Route tertiaire,"","",2.973,w93285314
TERTIAIRE,Route tertiaire,"","",2.954,w273312945
SECONDAIRE,Route secondaire,"","",2.952,w272511889
TERTIAIRE,Route tertiaire,"","",2.947,w315756199
SECONDAIRE,Route secondaire,"","",2.934,w302468907
TERTIAIRE,Route tertiaire,"","",2.930,w268794018
SECONDAIRE,Route secondaire,"","",2.929,w191149673
TERTIAIRE,Route tertiaire,"","",2.927,w1010055550
TERTIAIRE,Route tertiaire,"","",2.924,w862995451
TERTIAIRE,Route tertiaire,"","",2.918,w417830467
TERTIAIRE,Route tertiaire,"","",2.900,w334483178
TERTIAIRE,Route tertiaire,"","",2.888,w314427605
TERTIAIRE,Route tertiaire,"","",2.877,w240902193
TERTIAIRE,Route tertiaire,"","",2.876,w302358573
TERTIAIRE,Route tertiaire,"","",2.870,w328398623
TERTIAIRE,Route tertiaire,"","",2.867,w302317299
TERTIAIRE,Route tertiaire,"","",2.866,w486208959
TERTIAIRE,Route tertiaire,"","",2.866,w302317295
TERTIAIRE,Route tertiaire,"","",2.859,w307801916
TERTIAIRE,Route tertiaire,"","",2.858,w686653472
TERTIAIRE,Route tertiaire,"","",2.846,w330301798
TERTIAIRE,Route tertiaire,"","",2.828,w906775185
TERTIAIRE,Route tertiaire,"","",2.826,w496723244
TERTIAIRE,Route tertiaire,"","",2.822,w141136857
SECONDAIRE,Route secondaire,"","",2.809,w571738977
TERTIAIRE,Route tertiaire,"","",2.805,w243101485
TERTIAIRE,Route tertiaire,"",Approximatif,2.799,w493970227
TERTIAIRE,Route tertiaire,"","",2.796,w302317294
TERTIAIRE,Route tertiaire,"","",2.777,w304938346
SECONDAIRE,Route secondaire,"","",2.767,w273328734
TERTIAIRE,Route tertiaire,"","",2.767,w330159792
TERTIAIRE,Route tertiaire,"","",2.753,w38652122
TERTIAIRE,Route tertiaire,"","",2.749,w274445944
TERTIAIRE,Route tertiaire,"","",2.741,w329359149
TERTIAIRE,Route tertiaire,"","",2.737,w254019851
TERTIAIRE,Route tertiaire,"","",2.734,w331803320
TERTIAIRE,Route tertiaire,"","",2.730,w330588747
TERTIAIRE,Route tertiaire,"","",2.711,w1013892685
TERTIAIRE,Route tertiaire,"","",2.703,w207828879
TERTIAIRE,Route tertiaire,"","",2.672,w311535871
PRINCIPALE,Route primaire,"",Autoroute le Prince,2.672,w140786771
PRINCIPALE,Route primaire,"",Autoroute le Prince,2.665,w140786767
TERTIAIRE,Route tertiaire,"","",2.642,w329039662
SECONDAIRE,Route secondaire,"","",2.633,w918610692
