1						0		12.707	21
2						0		12.260	35
3						0		3.352	11
4						0		0.612	4
5						0		2.718	9
6						0		6.664	21
7						0		6.451	19
8						0		18.625	27
9						0		11.502	23
10						0		5.900	13
11						0		3.627	12
12						0		3.082	12
13						0		3.648	13
14						0		7.805	22
15						0		30.062	46
16						0		2.058	7
17						0		8.844	21
18						0		12.071	22
19						0		18.079	43
20						0		0.858	4
21						0		14.248	31
22						0		10.354	24
23						0		3.199	9
24						0		3.930	10
25						0		6.419	16
26						0		18.068	34
27						0		13.370	29
28						0		15.610	28
29						0		16.321	23
30						0		5.679	12
31						0		9.564	15
32						0		35.904	60
33						0		12.302	30
34						0		5.335	15
35						0		12.492	25
36						0		9.129	16
37						0		20.052	29
38						0		25.048	34
39						0		6.110	12
40						0		30.990	42
41						0		18.840	46
42						0		6.097	22
43						0		6.828	17
44						0		9.455	26
45						0		25.822	44
46						0		11.018	23
47						0		4.813	12
48						0		7.537	21
49						0		14.124	29
50						0		18.961	31
51						0		8.149	17
52						0		19.848	31
53						0		3.657	7
54						0		2.813	8
55						0		6.828	10
56						0		19.581	34
57						0		24.519	38
58						0		18.233	46
59						0		20.027	58
60						0		4.849	15
61						0		18.608	48
62						0		5.407	14
63						0		20.332	44
64						0		8.967	21
65						0		21.612	43
66						0		7.734	17
67						0		25.741	48
68						0		19.411	40
69						0		11.374	24
70						0		12.230	19
71						0		14.291	29
72						0		11.572	22
73						0		7.227	15
74						0		2.025	6
75						0		6.337	11
76						0		33.246	79
77						0		13.231	26
78						0		12.776	23
79						0		40.223	56
80						0		12.436	25
81						0		30.645	60
82						0		18.966	34
83						0		19.262	32
84						0		29.869	58
85						0		9.953	23
86						0		7.703	18
87						0		8.983	25
88						0		4.315	12
89						0		6.215	16
90						0		8.431	21
91						0		14.915	35
92						0		0.158	2
93						0		16.614	34
94						0		7.914	14
95						0		16.318	31
96						0		3.990	8
97						0		10.039	14
98						0		1.982	6
99						0		9.181	28
100						0		6.985	14
101						0		7.887	18
102						0		14.527	32
103						0		19.856	35
104						0		15.506	33
105						0		18.618	34
106						0		5.143	15
107						0		12.804	23
108						0		24.566	39
109						0		12.614	21
110						0		5.936	13
111						0		3.755	7
112						0		13.200	24
113						0		21.626	26
114						0		4.922	10
115						0		6.617	9
116						0		21.596	39
117						0		9.066	18
118						0		16.329	24
119						0		10.060	17
120						0		2.190	8
121						0		7.717	15
122						0		15.770	32
123						0		15.301	26
124						0		8.332	15
125						0		2.195	6
126						0		4.485	2
127						0		37.396	49
128						0		14.567	33
129						0		10.863	19
130						0		1.483	9
131						0		14.776	34
132						0		24.343	35
133						0		0.183	2
134						0		19.061	28
135						0		19.310	29
136						0		12.065	21
137						0		7.310	12
138						0		14.645	20
139						0		18.741	32
140						0		16.806	29
141						0		13.062	14
142						0		14.131	30
143						0		13.313	16
144						0		10.446	21
145						0		15.135	22
146						0		11.107	19
147						0		10.257	15
148						0		5.458	14
149						0		9.543	20
150						0		3.949	9
151						0		31.258	49
152						0		4.633	11
153						0		5.200	17
154						0		12.035	24
155						0		30.660	35
156						0		7.635	19
157						0		8.710	21
158						0		6.911	13
159						0		34.482	48
160						0		24.720	32
161						0		1.875	7
162						0		22.123	32
163						0		0.119	2
164						0		20.116	24
165						0		36.547	64
166						0		20.187	38
167						0		13.134	18
168						0		6.113	11
169						0		30.734	38
170						0		1.657	4
171						0		15.424	23
172						0		14.732	19
173						0		3.668	8
174						0		10.235	13
175						0		10.231	18
176						0		9.553	15
177						0		29.201	43
178						0		0.154	2
179						0		40.497	56
180						0		15.125	21
181						0		58.221	93
182						0		6.031	11
183						0		15.168	29
184						0		16.756	24
185						0		13.999	19
186						0		8.285	14
187						0		3.587	8
188						0		2.211	7
189						0		6.356	15
190						0		2.184	7
191						0		1.720	7
192						0		3.752	9
193						0		1.950	5
194						0		23.164	35
195						0		5.796	10
196						0		11.378	24
197						0		36.051	52
198						0		8.989	17
199						0		8.575	17
200						0		8.722	17
201						0		9.835	21
202						0		1.565	8
203						0		10.826	20
204						0		10.537	18
205						0		2.054	2
206						0		9.465	16
207						0		10.169	19
208						0		7.093	12
209						0		5.936	16
210						0		5.337	9
211						0		12.312	16
212						0		18.829	25
213						0		2.482	5
214						0		12.110	13
215						0		11.347	21
216						0		6.793	13
217						0		12.933	19
218						0		3.354	7
219						0		12.847	22
220						0		8.034	14
221						0		3.852	8
222						0		27.090	30
223						0		3.213	8
224						0		28.535	42
225						0		29.340	38
226						0		20.076	24
227						0		19.682	29
228						0		11.000	18
229						0		17.215	22
230						0		10.041	16
231						0		13.113	18
232						0		32.238	44
233						0		10.486	15
234						0		9.605	15
235						0		13.893	20
236						0		5.048	10
237						0		11.488	13
238						0		1.898	4
239						0		3.136	8
240						0		19.166	25
241						0		2.224	4
242						0		2.194	7
243						0		29.109	41
244						0		12.242	22
245						0		35.978	59
246						0		33.228	56
247						0		14.289	32
248						0		44.487	84
249						0		16.725	28
250						0		29.199	49
251						0		24.471	46
252						0		4.474	13
253						0		23.249	34
254						0		29.728	52
255						0		0.291	2
256						0		40.635	77
257						0		29.321	60
258						0		35.518	54
259						0		36.455	55
260						0		30.760	61
261						0		19.486	34
262						0		5.984	14
263						0		4.327	12
264						0		11.154	18
265						0		7.625	18
266						0		14.611	22
267						0		25.946	38
268						0		27.831	35
269						0		1.452	6
270						0		4.696	14
271						0		10.644	22
272						0		12.961	22
273						0		12.896	24
274						0		7.642	21
275						0		1.665	8
276						0		6.076	12
277						0		6.125	17
278						0		10.215	27
279						0		7.973	15
280						0		7.139	14
281						0		0.992	5
282						0		4.627	9
283						0		0.985	6
284						0		3.583	10
285						0		5.035	10
286						0		42.157	68
287						0		5.353	13
288						0		9.805	19
289						0		5.929	10
290						0		13.755	24
291						0		7.450	19
292						0		10.398	15
293						0		3.087	8
294						0		14.630	26
295						0		8.410	12
296						0		7.102	17
297						0		1.174	5
298						0		3.887	10
299						0		11.767	32
300						0		2.780	7
301						0		9.095	19
302						0		8.821	11
303						0		8.788	20
304						0		32.103	54
305						0		36.116	57
306						0		26.155	46
307						0		5.192	13
308						0		7.753	21
309						0		12.825	25
310						0		0.104	2
311						0		19.981	33
312						0		8.480	18
313						0		1.916	6
314						0		4.207	10
315						0		5.037	10
316						0		0.224	2
317						0		5.348	14
318						0		16.671	24
319						0		20.615	37
320						0		16.592	25
321						0		16.203	23
322						0		2.601	8
323						0		37.064	44
324						0		2.239	8
325						0		9.105	17
326						0		4.992	14
327						0		3.571	12
328						0		6.711	14
329						0		8.883	18
330						0		32.576	35
331						0		6.569	17
332						0		11.585	16
333						0		0.243	2
334						0		15.455	20
335						0		10.718	25
336						0		10.973	14
337						0		23.245	46
338						0		11.410	15
339						0		0.111	2
340						0		1.728	7
341						0		21.183	27
342						0		7.443	12
343						0		0.155	2
344						0		13.162	17
345						0		9.887	25
346						0		8.028	14
347						0		12.279	18
348						0		12.339	20
