Route tertiaire	NC	30.367	Kindia	0.024	0.062	POTENTIAL_BDRI_MISSING
Route primaire	A12	30.353	Nzérékoré	0.000	0.017	POTENTIAL_BDRI_MISSING
Voie rapide	N1	29.900	Faranah	0.991	1.000	LIKELY_DUPLICATE
Voie rapide	N1	29.361	Kankan	1.000	1.000	LIKELY_DUPLICATE
Route primaire	N30	29.303	Faranah	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	29.233	Kindia	0.000	0.000	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	29.198	Nzérékoré	0.234	0.245	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	29.055	Nzérékoré	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	N22	29.032	Mamou	0.964	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	28.620	Mamou	0.044	0.376	OUTSIDE_BDRI_SCOPE
Route primaire	NC	28.452	Nzérékoré	0.071	0.563	LIKELY_DUPLICATE
Route tertiaire	NC	28.343	Kankan	0.016	0.131	OUTSIDE_BDRI_SCOPE
Route secondaire	NC	28.340	Kindia	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	28.321	Nzérékoré	0.062	0.439	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	28.319	Labé	0.001	0.022	POTENTIAL_BDRI_MISSING
Route secondaire	NC	28.216	Kankan	0.000	0.013	POTENTIAL_BDRI_MISSING
Route primaire	NC	28.138	Kindia	0.007	0.174	UNDETERMINED
Route tertiaire	NC	28.130	Kankan	0.018	0.613	LIKELY_DUPLICATE
Route tertiaire	NC	27.861	Kindia	0.000	0.021	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	27.719	Mamou	0.035	0.290	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	27.703	Boké	0.983	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	27.502	Labé	0.955	1.000	LIKELY_DUPLICATE
Route primaire	N33	27.331	Kankan	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	27.181	Kankan	0.000	0.000	POTENTIAL_BDRI_MISSING
Voie rapide	N3	26.903	Kindia	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	26.854	Nzérékoré	0.961	1.000	LIKELY_DUPLICATE
Route secondaire	NC	26.612	Nzérékoré	0.007	0.081	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	26.553	Kindia	0.037	0.309	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	26.477	Kindia	0.000	0.000	POTENTIAL_BDRI_MISSING
Route primaire	NC	26.439	Faranah	1.000	1.000	LIKELY_DUPLICATE
Route secondaire	NC	26.304	Kankan	0.002	0.010	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	26.257	Kankan	0.008	0.043	POTENTIAL_BDRI_MISSING
Voie rapide	N1	26.051	Kankan	0.995	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	26.046	Kankan	0.000	0.000	POTENTIAL_BDRI_MISSING
Voie rapide	NC	26.022	Boké	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	25.912	Nzérékoré	0.028	0.320	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	25.547	Faranah	0.345	0.905	LIKELY_DUPLICATE
Route tertiaire	NC	25.350	Kankan	0.008	0.015	POTENTIAL_BDRI_MISSING
Route secondaire	NC	25.274	Kankan	0.695	1.000	LIKELY_DUPLICATE
Voie rapide	N6	25.141	Kankan	1.000	1.000	LIKELY_DUPLICATE
Route primaire	NC	24.908	Nzérékoré	0.000	0.000	POTENTIAL_BDRI_MISSING
Voie rapide	N2	24.728	Faranah	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	24.503	Boké	0.020	0.512	LIKELY_DUPLICATE
Route tertiaire	NC	24.418	Nzérékoré	0.940	0.960	LIKELY_DUPLICATE
Voie rapide	N2	24.401	Nzérékoré	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	N4	24.376	Kindia	1.000	1.000	LIKELY_DUPLICATE
Voie rapide	N5	24.290	Mamou	1.000	1.000	LIKELY_DUPLICATE
Route secondaire	NC	24.090	Kankan	0.013	0.024	POTENTIAL_BDRI_MISSING
Voie rapide	N1	24.028	Kindia	0.998	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	23.983	Mamou	0.008	0.116	OUTSIDE_BDRI_SCOPE
Route primaire	N10	23.894	Kankan	1.000	1.000	LIKELY_DUPLICATE
Route secondaire	NC	23.873	Labé	0.002	0.021	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	23.796	Kankan	0.008	0.109	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	23.656	Labé	0.027	0.223	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	23.637	Faranah	0.000	0.000	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	23.545	Nzérékoré	0.005	0.188	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	23.468	Mamou	0.031	0.242	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	23.410	Labé	0.000	0.007	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	23.236	Labé	0.095	0.459	OUTSIDE_BDRI_SCOPE
Voie rapide	N5	23.234	Labé	0.990	1.000	LIKELY_DUPLICATE
Route secondaire	NC	23.137	Kankan	0.992	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	23.091	Kankan	0.003	0.025	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	23.053	Kankan	0.000	0.000	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	23.016	Labé	0.060	0.614	LIKELY_DUPLICATE
Route tertiaire	NC	22.972	Kankan	0.000	0.000	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	22.948	Boké	0.000	0.000	POTENTIAL_BDRI_MISSING
Route secondaire	NC	22.814	Kankan	0.947	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	22.721	Boké	0.011	0.023	POTENTIAL_BDRI_MISSING
Voie rapide	N2	22.690	Nzérékoré	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	22.648	Faranah	0.047	0.479	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	22.616	Boké	0.052	0.424	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	22.608	Kindia	0.028	0.592	LIKELY_DUPLICATE
Route secondaire	NC	22.564	Kindia	0.968	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	22.551	Faranah	0.000	0.000	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	22.546	Faranah	0.041	0.436	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	22.352	Kindia	0.031	0.366	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	22.268	Faranah	0.013	0.146	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	22.200	Kindia	0.003	0.011	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	22.166	Labé	0.054	0.306	OUTSIDE_BDRI_SCOPE
Route primaire	NC	22.110	Boké	1.000	1.000	LIKELY_DUPLICATE
Route secondaire	NC	22.097	Nzérékoré	0.038	0.262	UNDETERMINED
Route primaire	N10	22.095	Nzérékoré	0.929	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	22.085	Mamou	0.000	0.000	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	22.000	Kindia	0.062	0.509	LIKELY_DUPLICATE
Voie rapide	N2	21.856	Faranah	1.000	1.000	LIKELY_DUPLICATE
Voie rapide	NC	21.806	Boké	1.000	1.000	LIKELY_DUPLICATE
Voie rapide	N6	21.778	Kankan	0.639	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	21.771	Labé	0.000	0.000	POTENTIAL_BDRI_MISSING
Route primaire	N30	21.747	Faranah	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	21.704	Faranah	0.499	0.561	LIKELY_DUPLICATE
Route tertiaire	NC	21.653	Mamou	0.006	0.108	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	21.571	Kankan	0.112	0.775	LIKELY_DUPLICATE
Route secondaire	NC	21.476	Kankan	0.009	0.218	UNDETERMINED
Route tertiaire	NC	21.378	Kankan	0.018	0.333	OUTSIDE_BDRI_SCOPE
Route primaire	NC	21.351	Kindia	0.023	0.362	UNDETERMINED
Voie rapide	NC	21.325	Boké	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	21.292	Faranah	0.003	0.010	POTENTIAL_BDRI_MISSING
Route primaire	NC	21.140	Boké	1.000	1.000	LIKELY_DUPLICATE
Route primaire	N30	21.038	Faranah	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	20.852	Labé	0.009	0.108	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	20.797	Kankan	0.016	0.049	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	20.792	Kindia	0.041	0.363	OUTSIDE_BDRI_SCOPE
