PONT_SANS_OUVRAGE	Gué	Route tertiaire			77	25586	PONT	Pont du Fatala	Boké	w270402396
PONT_SANS_OUVRAGE	Gué	Chemin non carrossable			75	118604	PONT	Pont du Konkoure	Boké	w639942215
PONT_SANS_OUVRAGE	Gué	Route non classifiée			75	190282	RADIER	Radier de Diafore	Faranah	w270012766
PONT_SANS_OUVRAGE	Gué	Chemin carrossable			72	72658	PONT	Pont de Kolente	Kindia	w1070042419
PONT_SANS_OUVRAGE	Gué	Chemin carrossable			72	148727	PONCEAU	Ponceau PK15 Nzerekore	Kankan	w310855143
PONT_SANS_OUVRAGE	Gué	Route non classifiée			70	109349	PONT	Pont de Milo	Kankan	w311703528
PONT_SANS_OUVRAGE	Gué	Route résidentielle			68	1915	PONT	Pont de Milo	Kankan	w541110039
PONT_SANS_OUVRAGE	Gué	Chemin non carrossable			68	111556	RADIER	Radier de Diafore	Boké	w774627766
PONT_SANS_OUVRAGE	Gué	Route non classifiée			67	134547	PONT	Pont de Milo	Kankan	w311382537
PONT_SANS_OUVRAGE	Gué	Route non classifiée			67	73203	PONT	Pont du Konkoure	Kindia	w330687984
PONT_SANS_OUVRAGE	Gué	Route primaire			67	171971	PONCEAU	Ponceau PK15 Nzerekore	Nzérékoré	w313322428
PONT_SANS_OUVRAGE	Gué	Chemin carrossable			67	83782	RADIER	Radier de Diafore	Boké	w633118425
PONT_SANS_OUVRAGE	Gué	Route non classifiée			66	132113	PONCEAU	Ponceau PK15 Nzerekore	Nzérékoré	w742901551
PONT_SANS_OUVRAGE	Gué	Chemin non carrossable			66	93622	RADIER	Radier de Diafore	Boké	w664566470
PONT_SANS_OUVRAGE	Gué	Route non classifiée			65	134997	PONT	Pont de Milo	Kankan	w311382539
PONT_SANS_OUVRAGE	Gué	Chemin carrossable			65	4043	PONCEAU	Ponceau PK15 Nzerekore	Nzérékoré	w312512046
PONT_SANS_OUVRAGE	Gué	Route tertiaire			65	150805	PONCEAU	Ponceau PK15 Nzerekore	Nzérékoré	w269940435
PONT_SANS_OUVRAGE	Gué	Chemin non carrossable			65	65664	PONCEAU	Ponceau PK15 Nzerekore	Nzérékoré	w274677226
PONT_SANS_OUVRAGE	Gué	Route non classifiée			64	45045	RADIER	Radier de Diafore	Mamou	w407711325
PONT_SANS_OUVRAGE	Gué	Chemin carrossable			64	118607	DALOT	Dalot PK112 Faranah	Kankan	w774651774
PONT_SANS_OUVRAGE	Gué	Route non classifiée			63	50844	PONCEAU	Ponceau PK15 Nzerekore	Nzérékoré	w273312963
PONT_SANS_OUVRAGE	Gué	Chemin non carrossable			62	77626	PONT	Pont du Konkoure	Kindia	w331283248
PONT_SANS_OUVRAGE	Gué	Route non classifiée			62	148300	DALOT	Dalot PK112 Faranah	Faranah	w271646659
PONT_SANS_OUVRAGE	Gué	Route non classifiée			62	16990	MUR_SOUTENEMENT	Mur de soutenement Mont Gangan	Mamou	w271626114
PONT_SANS_OUVRAGE	Gué	Route résidentielle			62	141086	DALOT	Dalot PK112 Faranah	Kankan	w689957321
PONT_SANS_OUVRAGE	Gué	Route non classifiée			61	23560	MUR_SOUTENEMENT	Mur de soutenement Mont Gangan	Mamou	w329738735
PONT_SANS_OUVRAGE	Gué	Route non classifiée			61	152164	PONT	Pont de Milo	Kankan	w270900237
PONT_SANS_OUVRAGE	Gué	Route non classifiée			61	54313	PONCEAU	Ponceau PK15 Nzerekore	Nzérékoré	w273312964
PONT_SANS_OUVRAGE	Gué	Chemin non carrossable			61	101035	PONT	Pont du Konkoure	Kindia	w633612612
PONT_SANS_OUVRAGE	Gué	Route non classifiée			60	50478	RADIER	Radier de Diafore	Mamou	w407979687
PONT_SANS_OUVRAGE	Gué	Chemin carrossable			59	118621	DALOT	Dalot PK112 Faranah	Kankan	w774651773
PONT_SANS_OUVRAGE	Gué	Chemin non carrossable			58	104901	PONT	Pont du Konkoure	Kindia	w636002572
PONT_SANS_OUVRAGE	Gué	Chemin non carrossable			58	70995	PONT	Pont de Kolente	Kindia	w330829026
PONT_SANS_OUVRAGE	Gué	Route non classifiée			58	23670	DALOT	Dalot PK35 Kindia-Mamou	Kindia	w330056455
PONT_SANS_OUVRAGE	Gué	Route non classifiée			57	73325	PONT	Pont du Konkoure	Kindia	w330687982
PONT_SANS_OUVRAGE	Gué	Route non classifiée			57	156932	PONT	Pont du Konkoure	Boké	w643380333
PONT_SANS_OUVRAGE	Gué	Chemin non carrossable			57	50441	PONCEAU	Ponceau PK15 Nzerekore	Nzérékoré	w761780636
PONT_SANS_OUVRAGE	Gué	Chemin carrossable			55	114149	PONCEAU	Ponceau PK15 Nzerekore	Nzérékoré	w917969539
PONT_SANS_OUVRAGE	Gué	Route non classifiée			55	78748	RADIER	Radier de Diafore	Labé	w665914654
PONT_SANS_OUVRAGE	Gué	Chemin non carrossable			55	105430	RADIER	Radier de Diafore	Kindia	w629934968
PONT_SANS_OUVRAGE	Gué	Route résidentielle			55	156012	PONT	Pont du Konkoure	Boké	w643380319
PONT_SANS_OUVRAGE	Gué	Chemin non carrossable			55	120878	PONCEAU	Ponceau PK15 Nzerekore	Nzérékoré	w745691344
PONT_SANS_OUVRAGE	Gué	Chemin non carrossable			54	21742	DALOT	Kouété	Kindia	w333343814
PONT_SANS_OUVRAGE	Gué	Route non classifiée			54	156601	PONT	Pont du Konkoure	Boké	w643380322
PONT_SANS_OUVRAGE	Gué	Chemin non carrossable			53	134398	PONCEAU	Ponceau PK15 Nzerekore	Nzérékoré	w742972345
PONT_SANS_OUVRAGE	Gué	Chemin non carrossable			52	114425	PONT	Pont du Konkoure	Kindia	w639346077
PONT_SANS_OUVRAGE	Gué	Route non classifiée			52	74453	PONT	Pont du Konkoure	Kindia	w330779891
PONT_SANS_OUVRAGE	Gué	Chemin non carrossable			52	151795	PONCEAU	Ponceau PK15 Nzerekore	Nzérékoré	w741174394
PONT_SANS_OUVRAGE	Gué	Chemin carrossable			52	140664	PONCEAU	Ponceau PK15 Nzerekore	Nzérékoré	w271921403
PONT_SANS_OUVRAGE	Gué	Chemin non carrossable			52	126084	RADIER	Radier de Diafore	Boké	w640239486
PONT_SANS_OUVRAGE	Gué	Chemin non carrossable			52	100429	PONT	Pont du Konkoure	Kindia	w633610302
PONT_SANS_OUVRAGE	Gué	Chemin carrossable			51	79145	PONCEAU	Ponceau PK15 Nzerekore	Nzérékoré	w274445915
PONT_SANS_OUVRAGE	Gué	Chemin non carrossable			51	64749	PONCEAU	Ponceau PK15 Nzerekore	Nzérékoré	w274677227
PONT_SANS_OUVRAGE	Gué	Route non classifiée			51	7812	DALOT	Dalot PK112 Faranah	Faranah	w416193717
PONT_SANS_OUVRAGE	Gué	Chemin carrossable			51	110718	DALOT	Dalot PK112 Faranah	Kankan	w691402623
PONT_SANS_OUVRAGE	Gué	Route non classifiée			50	133405	DALOT	Dalot PK112 Faranah	Faranah	w977394487
PONT_SANS_OUVRAGE	Gué	Chemin non carrossable			50	124088	PONT	Pont du Konkoure	Boké	w640251658
PONT_SANS_OUVRAGE	Gué	Chemin carrossable			50	149182	PONCEAU	Ponceau PK15 Nzerekore	Nzérékoré	w388300385
PONT_SANS_OUVRAGE	Gué	Chemin non carrossable			50	123739	PONT	Pont du Konkoure	Boké	w639950606
PONT_SANS_OUVRAGE	Gué	Chemin carrossable			48	62612	PONCEAU	Ponceau PK15 Nzerekore	Nzérékoré	w311964480
PONT_SANS_OUVRAGE	Gué	Chemin non carrossable			48	117882	PONT	Pont du Konkoure	Boké	w639942210
PONT_SANS_OUVRAGE	Gué	Chemin non carrossable			48	122252	PONT	Pont du Konkoure	Kindia	w639341439
PONT_SANS_OUVRAGE	Gué	Chemin non carrossable			48	99947	PONT	Pont du Konkoure	Kindia	w633607208
PONT_SANS_OUVRAGE	Gué	Chemin non carrossable			48	107728	RADIER	Radier de Diafore	Kindia	w629222954
PONT_SANS_OUVRAGE	Gué	Chemin non carrossable			47	119846	PONT	Pont du Konkoure	Boké	w639945486
PONT_SANS_OUVRAGE	Gué	Chemin non carrossable			47	117869	PONCEAU	Ponceau PK15 Nzerekore	Nzérékoré	w746214411
PONT_SANS_OUVRAGE	Gué	Chemin non carrossable			47	92913	PONCEAU	Ponceau PK15 Nzerekore	Nzérékoré	w750656520
PONT_SANS_OUVRAGE	Gué	Chemin non carrossable			47	78856	PONT	Pont du Konkoure	Kindia	w330655326
